DATE,RU2000PR
2000-03-10,1502.49
2000-03-13,1468.42
2000-03-14,1425.42
2000-03-15,1391.19
2000-03-16,1428.58
2000-03-17,1430.01
2000-03-20,1366.42
2000-03-21,1375.67
2000-03-22,1421.64
2000-03-23,1427.90
2000-03-24,1428.76
2000-03-27,1427.50
2000-03-28,1391.17
2000-03-29,1351.06
2000-03-30,1322.78
2000-03-31,1341.37
2000-04-03,1284.13
2000-04-04,1259.18
2000-04-05,1289.01
2000-04-06,1325.51
2000-04-07,1351.11
2000-04-10,1290.94
2000-04-11,1269.73
2000-04-12,1228.00
2000-04-13,1217.60
2000-04-14,1129.53
2000-04-17,1142.74
2000-04-18,1209.69
2000-04-19,1210.28
2000-04-20,1199.07
2000-04-21,.
2000-04-24,1166.14
2000-04-25,1217.14
2000-04-26,1205.23
2000-04-27,1230.75
2000-04-28,1259.78
2000-04-30,1259.78
2000-05-01,1291.43
2000-05-02,1257.44
2000-05-03,1233.25
2000-05-04,1248.92
2000-05-05,1276.21
2000-05-08,1244.43
2000-05-09,1221.44
2000-05-10,1180.37
2000-05-11,1218.03
2000-05-12,1221.72
2000-05-15,1238.64
2000-05-16,1259.01
2000-05-17,1243.37
2000-05-18,1221.75
2000-05-19,1193.66
2000-05-22,1173.66
2000-05-23,1142.22
2000-05-24,1149.45
2000-05-25,1135.19
2000-05-26,1138.32
2000-05-29,.
2000-05-30,1186.21
2000-05-31,1185.05
2000-06-01,1225.72
2000-06-02,1276.59
2000-06-05,1277.54
2000-06-06,1273.29
2000-06-07,1285.57
2000-06-08,1280.73
2000-06-09,1302.00
2000-06-12,1265.94
2000-06-13,1278.89
2000-06-14,1268.73
2000-06-15,1275.23
2000-06-16,1278.72
2000-06-19,1301.38
2000-06-20,1308.65
2000-06-21,1313.53
2000-06-22,1282.44
2000-06-23,1270.74
2000-06-26,1285.51
2000-06-27,1265.16
2000-06-28,1296.86
2000-06-29,1276.08
2000-06-30,1286.39
2000-07-03,1302.23
2000-07-04,.
2000-07-05,1288.04
2000-07-06,1300.50
2000-07-07,1312.57
2000-07-10,1319.17
2000-07-11,1316.30
2000-07-12,1342.44
2000-07-13,1348.67
2000-07-14,1348.50
2000-07-17,1354.80
2000-07-18,1332.79
2000-07-19,1311.78
2000-07-20,1329.06
2000-07-21,1298.99
2000-07-24,1278.08
2000-07-25,1278.14
2000-07-26,1276.93
2000-07-27,1246.69
2000-07-28,1218.19
2000-07-31,1244.02
2000-08-01,1236.97
2000-08-02,1243.05
2000-08-03,1241.26
2000-08-04,1251.59
2000-08-07,1267.23
2000-08-08,1264.03
2000-08-09,1261.36
2000-08-10,1246.72
2000-08-11,1268.04
2000-08-14,1278.57
2000-08-15,1267.29
2000-08-16,1274.29
2000-08-17,1283.53
2000-08-18,1281.17
2000-08-21,1283.59
2000-08-22,1285.92
2000-08-23,1287.08
2000-08-24,1300.46
2000-08-25,1305.08
2000-08-28,1308.41
2000-08-29,1316.26
2000-08-30,1322.94
2000-08-31,1336.80
2000-09-01,1346.82
2000-09-04,.
2000-09-05,1339.49
2000-09-06,1332.91
2000-09-07,1349.00
2000-09-08,1329.59
2000-09-11,1326.41
2000-09-12,1323.27
2000-09-13,1327.11
2000-09-14,1340.31
2000-09-15,1319.37
2000-09-18,1284.04
2000-09-19,1300.47
2000-09-20,1295.85
2000-09-21,1278.22
2000-09-22,1289.44
2000-09-25,1281.11
2000-09-26,1267.42
2000-09-27,1262.91
2000-09-28,1301.94
2000-09-29,1296.00
2000-09-30,1296.00
2000-10-02,1271.80
2000-10-03,1254.31
2000-10-04,1261.47
2000-10-05,1249.39
2000-10-06,1220.40
2000-10-09,1216.73
2000-10-10,1197.03
2000-10-11,1179.95
2000-10-12,1150.71
2000-10-13,1194.05
2000-10-16,1197.38
2000-10-17,1170.40
2000-10-18,1158.74
2000-10-19,1196.29
2000-10-20,1211.51
2000-10-23,1217.81
2000-10-24,1212.56
2000-10-25,1181.17
2000-10-26,1192.40
2000-10-27,1192.65
2000-10-30,1199.82
2000-10-31,1236.99
2000-11-01,1230.75
2000-11-02,1260.11
2000-11-03,1262.01
2000-11-06,1252.59
2000-11-07,1257.70
2000-11-08,1244.39
2000-11-09,1231.15
2000-11-10,1195.34
2000-11-13,1184.40
2000-11-14,1210.21
2000-11-15,1222.33
2000-11-16,1197.07
2000-11-17,1199.71
2000-11-20,1168.76
2000-11-21,1160.18
2000-11-22,1138.11
2000-11-23,.
2000-11-24,1172.78
2000-11-27,1172.39
2000-11-28,1140.91
2000-11-29,1129.91
2000-11-30,1108.44
2000-12-01,1135.43
2000-12-04,1119.46
2000-12-05,1171.08
2000-12-06,1152.21
2000-12-07,1146.09
2000-12-08,1190.72
2000-12-11,1211.01
2000-12-12,1187.50
2000-12-13,1167.96
2000-12-14,1147.87
2000-12-15,1138.49
2000-12-18,1151.36
2000-12-19,1140.33
2000-12-20,1103.06
2000-12-21,1111.12
2000-12-22,1150.79
2000-12-25,.
2000-12-26,1159.82
2000-12-27,1191.31
2000-12-28,1227.88
2000-12-29,1201.82
2001-01-01,.
2001-01-02,1149.51
2001-01-03,1203.93
2001-01-04,1186.05
2001-01-05,1151.13
2001-01-08,1147.39
2001-01-09,1153.11
2001-01-10,1181.69
2001-01-11,1202.57
2001-01-12,1207.31
2001-01-15,.
2001-01-16,1226.05
2001-01-17,1226.45
2001-01-18,1229.33
2001-01-19,1213.12
2001-01-22,1218.30
2001-01-23,1247.83
2001-01-24,1248.35
2001-01-25,1240.24
2001-01-26,1239.42
2001-01-29,1262.37
2001-01-30,1271.69
2001-01-31,1263.45
2001-02-01,1265.03
2001-02-02,1245.26
2001-02-05,1244.54
2001-02-06,1257.04
2001-02-07,1260.33
2001-02-08,1249.91
2001-02-09,1235.37
2001-02-12,1255.99
2001-02-13,1249.06
2001-02-14,1251.37
2001-02-15,1264.67
2001-02-16,1240.89
2001-02-19,.
2001-02-20,1220.71
2001-02-21,1201.73
2001-02-22,1186.17
2001-02-23,1186.66
2001-02-26,1213.62
2001-02-27,1189.87
2001-02-28,1178.98
2001-03-01,1176.31
2001-03-02,1185.16
2001-03-05,1182.47
2001-03-06,1195.72
2001-03-07,1204.96
2001-03-08,1196.64
2001-03-09,1177.16
2001-03-12,1139.24
2001-03-13,1148.83
2001-03-14,1127.57
2001-03-15,1123.75
2001-03-16,1097.99
2001-03-19,1121.54
2001-03-20,1104.66
2001-03-21,1082.96
2001-03-22,1075.63
2001-03-23,1101.66
2001-03-26,1111.87
2001-03-27,1125.54
2001-03-28,1098.98
2001-03-29,1097.33
2001-03-30,1119.70
2001-04-02,1092.89
2001-04-03,1061.15
2001-04-04,1058.08
2001-04-05,1105.27
2001-04-06,1080.31
2001-04-09,1097.67
2001-04-10,1122.96
2001-04-11,1116.53
2001-04-12,1130.86
2001-04-13,.
2001-04-16,1120.68
2001-04-17,1132.30
2001-04-18,1159.46
2001-04-19,1174.09
2001-04-20,1159.92
2001-04-23,1145.95
2001-04-24,1149.08
2001-04-25,1174.91
2001-04-26,1186.89
2001-04-27,1202.82
2001-04-30,1206.17
2001-05-01,1219.00
2001-05-02,1221.94
2001-05-03,1207.04
2001-05-04,1225.00
2001-05-07,1216.96
2001-05-08,1222.24
2001-05-09,1218.23
2001-05-10,1219.32
2001-05-11,1211.29
2001-05-14,1209.51
2001-05-15,1216.94
2001-05-16,1235.78
2001-05-17,1254.53
2001-05-18,1258.32
2001-05-21,1282.26
2001-05-22,1285.58
2001-05-23,1261.03
2001-05-24,1268.57
2001-05-25,1264.16
2001-05-28,.
2001-05-29,1248.63
2001-05-30,1227.72
2001-05-31,1234.04
2001-06-01,1247.00
2001-06-04,1260.94
2001-06-05,1283.71
2001-06-06,1274.04
2001-06-07,1279.46
2001-06-08,1271.71
2001-06-11,1260.01
2001-06-12,1260.01
2001-06-13,1255.52
2001-06-14,1231.31
2001-06-15,1230.67
2001-06-18,1219.25
2001-06-19,1214.78
2001-06-20,1232.51
2001-06-21,1237.34
2001-06-22,1214.59
2001-06-25,1203.51
2001-06-26,1219.96
2001-06-27,1231.78
2001-06-28,1250.23
2001-06-29,1275.04
2001-07-02,1238.09
2001-07-03,1232.64
2001-07-04,.
2001-07-05,1222.45
2001-07-06,1198.96
2001-07-09,1205.71
2001-07-10,1186.26
2001-07-11,1180.52
2001-07-12,1213.28
2001-07-13,1217.42
2001-07-16,1202.33
2001-07-17,1219.15
2001-07-18,1201.89
2001-07-19,1211.63
2001-07-20,1212.77
2001-07-23,1199.79
2001-07-24,1178.81
2001-07-25,1185.58
2001-07-26,1205.64
2001-07-27,1205.51
2001-07-30,1204.76
2001-07-31,1204.95
2001-08-01,1216.01
2001-08-02,1215.39
2001-08-03,1210.79
2001-08-06,1195.43
2001-08-07,1193.87
2001-08-08,1174.72
2001-08-09,1178.59
2001-08-10,1181.89
2001-08-13,1187.08
2001-08-14,1193.56
2001-08-15,1190.43
2001-08-16,1197.23
2001-08-17,1182.24
2001-08-20,1190.24
2001-08-21,1173.79
2001-08-22,1186.05
2001-08-23,1176.71
2001-08-24,1195.07
2001-08-27,1190.41
2001-08-28,1178.66
2001-08-29,1176.51
2001-08-30,1163.64
2001-08-31,1164.62
2001-09-03,.
2001-09-04,1160.63
2001-09-05,1149.60
2001-09-06,1126.95
2001-09-07,1106.56
2001-09-10,1095.47
2001-09-11,1095.47
2001-09-12,1095.47
2001-09-13,1095.47
2001-09-14,1095.47
2001-09-17,1038.17
2001-09-18,1023.23
2001-09-19,1002.18
2001-09-20,963.54
2001-09-21,941.80
2001-09-24,978.78
2001-09-25,984.74
2001-09-26,968.84
2001-09-27,976.74
2001-09-28,1006.34
2001-10-01,988.30
2001-10-02,998.70
2001-10-03,1027.08
2001-10-04,1036.59
2001-10-05,1031.45
2001-10-08,1024.53
2001-10-09,1015.84
2001-10-10,1048.11
2001-10-11,1071.37
2001-10-12,1065.30
2001-10-15,1069.04
2001-10-16,1080.06
2001-10-17,1055.13
2001-10-18,1046.59
2001-10-19,1058.13
2001-10-22,1070.04
2001-10-23,1062.27
2001-10-24,1062.96
2001-10-25,1083.60
2001-10-26,1090.28
2001-10-29,1067.34
2001-10-30,1050.98
2001-10-31,1064.23
2001-11-01,1080.87
2001-11-02,1076.40
2001-11-05,1087.49
2001-11-06,1100.52
2001-11-07,1095.59
2001-11-08,1091.26
2001-11-09,1088.89
2001-11-12,1094.79
2001-11-13,1114.36
2001-11-14,1125.48
2001-11-15,1116.97
2001-11-16,1121.71
2001-11-19,1137.64
2001-11-20,1128.17
2001-11-21,1124.22
2001-11-22,.
2001-11-23,1139.39
2001-11-26,1146.33
2001-11-27,1145.10
2001-11-28,1127.66
2001-11-29,1151.57
2001-11-30,1145.25
2001-12-03,1135.92
2001-12-04,1162.79
2001-12-05,1191.56
2001-12-06,1198.54
2001-12-07,1196.02
2001-12-10,1178.55
2001-12-11,1180.00
2001-12-12,1181.35
2001-12-13,1164.86
2001-12-14,1171.39
2001-12-17,1192.85
2001-12-18,1206.65
2001-12-19,1198.16
2001-12-20,1178.30
2001-12-21,1203.01
2001-12-24,1207.40
2001-12-25,.
2001-12-26,1218.26
2001-12-27,1224.32
2001-12-28,1226.81
2001-12-31,1214.10
2002-01-01,.
2002-01-02,1210.84
2002-01-03,1231.55
2002-01-04,1240.83
2002-01-07,1225.63
2002-01-08,1237.35
2002-01-09,1229.54
2002-01-10,1230.97
2002-01-11,1217.62
2002-01-14,1200.39
2002-01-15,1205.34
2002-01-16,1184.03
2002-01-17,1198.86
